feedback_id,user_id,content,rating,created_at
F001,U102,"트레이너 말투가 너무 친근해서 좋았어요!",5,2024-12-15
F002,U231,"식단 추천이 조금 반복적인 것 같아요.",3,2025-01-08
F003,U147,"운동 루틴이 체력에 맞게 조정돼서 좋았습니다.",4,2025-02-01
F004,U315,"답변이 너무 딱딱하게 느껴졌어요.",2,2025-03-21
F005,U298,"매일 아침 동기부여 메시지가 큰 힘이 돼요!",5,2025-04-05
F006,U377,"홈트 위주라서 접근하기 쉬웠어요!",4,2025-04-18
F007,U066,"식단 분석 정확도가 아쉬웠습니다.",2,2025-05-01
F008,U189,"루틴과 식단을 한 번에 볼 수 있어 편해요.",5,2025-05-03
F009,U120,"챗봇이 질문을 잘 이해하지 못하는 경우가 있었어요.",3,2025-05-06
F010,U254,"운동 목표에 딱 맞는 추천이 마음에 들어요!",5,2025-05-10
